第三階層,年,月,レコード数,日付,ページ パス レベル 3,ページビュー数,ページ別訪問数,年月
org_0240,2016年,04月,1,2016/04/13,/org_0240,1,1,201604
shisei,2016年,04月,1,2016/04/13,/shisei/,2,2,201604
sonota,2016年,04月,1,2016/04/13,/sonota/,1,1,201604
0f6fa0bc-0b25-4796-8197-8f0735f1cd14,2016年,04月,1,2016/04/14,/0f6fa0bc-0b25-4796-8197-8f0735f1cd14,1,1,201604
0f6fa0bc-0b25-4796-8197-8f0735f1cd14?organization=org_0070,2016年,04月,1,2016/04/14,/0f6fa0bc-0b25-4796-8197-8f0735f1cd14?organization=org_0070,1,1,201604
2101c5ea-0a32-4d20-974d-923e0c9e9fe9,2016年,04月,1,2016/04/14,/2101c5ea-0a32-4d20-974d-923e0c9e9fe9,3,2,201604
2101c5ea-0a32-4d20-974d-923e0c9e9fe9?organization=org_0160,2016年,04月,1,2016/04/14,/2101c5ea-0a32-4d20-974d-923e0c9e9fe9?organization=org_0160,7,4,201604
2101c5ea-0a32-4d20-974d-923e0c9e9fe9?organization=org_0160&groups=gr_0050,2016年,04月,1,2016/04/14,/2101c5ea-0a32-4d20-974d-923e0c9e9fe9?organization=org_0160&groups=gr_0050,2,1,201604
5eccbc53-86ea-482a-8594-5224aaf5f2c6?organization=org_0010,2016年,04月,1,2016/04/14,/5eccbc53-86ea-482a-8594-5224aaf5f2c6?organization=org_0010,1,1,201604
?sort=released,2016年,04月,1,2016/04/14,/?sort=released,1,1,201604
about,2016年,04月,1,2016/04/14,/about/,7,5,201604
activity,2016年,04月,1,2016/04/14,/activity/,19,15,201604
anshin,2016年,04月,1,2016/04/14,/anshin/,1,1,201604
b18a8508-9e22-4355-9d36-d8c4d94b7df9?organization=org_0010,2016年,04月,1,2016/04/14,/b18a8508-9e22-4355-9d36-d8c4d94b7df9?organization=org_0010,2,1,201604
b18a8508-9e22-4355-9d36-d8c4d94b7df9?organization=org_0040,2016年,04月,1,2016/04/14,/b18a8508-9e22-4355-9d36-d8c4d94b7df9?organization=org_0040,2,2,201604
b18a8508-9e22-4355-9d36-d8c4d94b7df9?organization=org_0040&tags=統計,2016年,04月,1,2016/04/14,/b18a8508-9e22-4355-9d36-d8c4d94b7df9?organization=org_0040&tags=統計,2,1,201604
b18a8508-9e22-4355-9d36-d8c4d94b7df9?res_format=XLS,2016年,04月,1,2016/04/14,/b18a8508-9e22-4355-9d36-d8c4d94b7df9?res_format=XLS,1,1,201604
b18a8508-9e22-4355-9d36-d8c4d94b7df9?res_format=XLS&tags=統計,2016年,04月,1,2016/04/14,/b18a8508-9e22-4355-9d36-d8c4d94b7df9?res_format=XLS&tags=統計,1,1,201604
b18a8508-9e22-4355-9d36-d8c4d94b7df9?tags=情報啓発&organization=org_0010,2016年,04月,1,2016/04/14,/b18a8508-9e22-4355-9d36-d8c4d94b7df9?tags=情報啓発&organization=org_0010,1,1,201604
b18a8508-9e22-4355-9d36-d8c4d94b7df9?tags=統計,2016年,04月,1,2016/04/14,/b18a8508-9e22-4355-9d36-d8c4d94b7df9?tags=統計,5,2,201604
c2ed703e-ebd0-447e-9b14-cd6aac1ecf8b?groups=gr_0010,2016年,04月,1,2016/04/14,/c2ed703e-ebd0-447e-9b14-cd6aac1ecf8b?groups=gr_0010,4,1,201604
c2ed703e-ebd0-447e-9b14-cd6aac1ecf8b?groups=gr_0010&tags=イベント,2016年,04月,1,2016/04/14,/c2ed703e-ebd0-447e-9b14-cd6aac1ecf8b?groups=gr_0010&tags=イベント,1,1,201604
c2ed703e-ebd0-447e-9b14-cd6aac1ecf8b?organization=org_0040,2016年,04月,1,2016/04/14,/c2ed703e-ebd0-447e-9b14-cd6aac1ecf8b?organization=org_0040,2,1,201604
c2ed703e-ebd0-447e-9b14-cd6aac1ecf8b?organization=org_0100,2016年,04月,1,2016/04/14,/c2ed703e-ebd0-447e-9b14-cd6aac1ecf8b?organization=org_0100,2,2,201604
c2ed703e-ebd0-447e-9b14-cd6aac1ecf8b?organization=org_0100&groups=gr_0010,2016年,04月,1,2016/04/14,/c2ed703e-ebd0-447e-9b14-cd6aac1ecf8b?organization=org_0100&groups=gr_0010,1,1,201604
c2ed703e-ebd0-447e-9b14-cd6aac1ecf8b?organization=org_0120,2016年,04月,1,2016/04/14,/c2ed703e-ebd0-447e-9b14-cd6aac1ecf8b?organization=org_0120,1,1,201604
c2ed703e-ebd0-447e-9b14-cd6aac1ecf8b?organization=org_0170,2016年,04月,1,2016/04/14,/c2ed703e-ebd0-447e-9b14-cd6aac1ecf8b?organization=org_0170,1,1,201604
dataset-00000001,2016年,04月,1,2016/04/14,/dataset-00000001,6,5,201604
dataset-00000001,2016年,04月,1,2016/04/14,/dataset-00000001/,4,3,201604
dataset-00000002,2016年,04月,1,2016/04/14,/dataset-00000002,8,5,201604
dataset-00000002,2016年,04月,1,2016/04/14,/dataset-00000002/,6,6,201604
dataset-00000003,2016年,04月,1,2016/04/14,/dataset-00000003,7,7,201604
dataset-00000003,2016年,04月,1,2016/04/14,/dataset-00000003/,2,1,201604
dataset-00000004,2016年,04月,1,2016/04/14,/dataset-00000004,5,3,201604
dataset-00000004,2016年,04月,1,2016/04/14,/dataset-00000004/,6,4,201604
dataset-00000005,2016年,04月,1,2016/04/14,/dataset-00000005,15,10,201604
dataset-00000005,2016年,04月,1,2016/04/14,/dataset-00000005/,10,6,201604
dataset-00000006,2016年,04月,1,2016/04/14,/dataset-00000006,12,8,201604
dataset-00000006,2016年,04月,1,2016/04/14,/dataset-00000006/,10,10,201604
dataset-00000007,2016年,04月,1,2016/04/14,/dataset-00000007,19,10,201604
dataset-00000007,2016年,04月,1,2016/04/14,/dataset-00000007/,31,20,201604
dataset-00000008,2016年,04月,1,2016/04/14,/dataset-00000008,18,12,201604
dataset-00000008,2016年,04月,1,2016/04/14,/dataset-00000008/,15,14,201604
dataset-00000009,2016年,04月,1,2016/04/14,/dataset-00000009,10,6,201604
dataset-00000009,2016年,04月,1,2016/04/14,/dataset-00000009/,2,2,201604
dataset-00000010,2016年,04月,1,2016/04/14,/dataset-00000010,30,21,201604
dataset-00000010,2016年,04月,1,2016/04/14,/dataset-00000010/,14,12,201604
dataset-00000011,2016年,04月,1,2016/04/14,/dataset-00000011,52,42,201604
dataset-00000011,2016年,04月,1,2016/04/14,/dataset-00000011/,64,53,201604
dataset-00000012,2016年,04月,1,2016/04/14,/dataset-00000012,28,23,201604
dataset-00000012,2016年,04月,1,2016/04/14,/dataset-00000012/,26,24,201604
dataset-00000013,2016年,04月,1,2016/04/14,/dataset-00000013,1,1,201604
dataset-00000014,2016年,04月,1,2016/04/14,/dataset-00000014,1,1,201604
dataset-00000015,2016年,04月,1,2016/04/14,/dataset-00000015,3,2,201604
dataset-00000015,2016年,04月,1,2016/04/14,/dataset-00000015/,2,2,201604
dataset-00000020,2016年,04月,1,2016/04/14,/dataset-00000020,5,4,201604
dataset-00000021,2016年,04月,1,2016/04/14,/dataset-00000021,3,1,201604
dataset-00000021,2016年,04月,1,2016/04/14,/dataset-00000021/,2,2,201604
dataset-00000023,2016年,04月,1,2016/04/14,/dataset-00000023,1,1,201604
dataset-00000031,2016年,04月,1,2016/04/14,/dataset-00000031,1,1,201604
dataset-00000036,2016年,04月,1,2016/04/14,/dataset-00000036,1,1,201604
dataset-00000037,2016年,04月,1,2016/04/14,/dataset-00000037,2,1,201604
dataset-00000037,2016年,04月,1,2016/04/14,/dataset-00000037/,2,1,201604
dataset-00000044,2016年,04月,1,2016/04/14,/dataset-00000044,2,1,201604
dataset-00000044,2016年,04月,1,2016/04/14,/dataset-00000044/,2,1,201604
dataset-00000045,2016年,04月,1,2016/04/14,/dataset-00000045,6,5,201604
dataset-00000045,2016年,04月,1,2016/04/14,/dataset-00000045/,16,9,201604
dataset-00000046,2016年,04月,1,2016/04/14,/dataset-00000046,3,3,201604
dataset-00000047,2016年,04月,1,2016/04/14,/dataset-00000047,2,2,201604
dataset-00000048,2016年,04月,1,2016/04/14,/dataset-00000048,4,3,201604
dataset-00000048,2016年,04月,1,2016/04/14,/dataset-00000048/,3,3,201604
dataset-00000050,2016年,04月,1,2016/04/14,/dataset-00000050,4,3,201604
dataset-00000050,2016年,04月,1,2016/04/14,/dataset-00000050/,2,2,201604
dataset-00000051,2016年,04月,1,2016/04/14,/dataset-00000051,11,10,201604
dataset-00000051,2016年,04月,1,2016/04/14,/dataset-00000051/,4,3,201604
dataset-00000052,2016年,04月,1,2016/04/14,/dataset-00000052,3,3,201604
dataset-00000053,2016年,04月,1,2016/04/14,/dataset-00000053,15,12,201604
dataset-00000053,2016年,04月,1,2016/04/14,/dataset-00000053/,25,17,201604
dataset-00000054,2016年,04月,1,2016/04/14,/dataset-00000054,82,59,201604
dataset-00000054,2016年,04月,1,2016/04/14,/dataset-00000054/,54,46,201604
gr_0010,2016年,04月,1,2016/04/14,/gr_0010,149,87,201604
gr_0020,2016年,04月,1,2016/04/14,/gr_0020,73,58,201604
gr_0020?page=1,2016年,04月,1,2016/04/14,/gr_0020?page=1,3,1,201604
gr_0020?page=2,2016年,04月,1,2016/04/14,/gr_0020?page=2,8,5,201604
gr_0030,2016年,04月,1,2016/04/14,/gr_0030,37,37,201604
gr_0040,2016年,04月,1,2016/04/14,/gr_0040,69,56,201604
gr_0050,2016年,04月,1,2016/04/14,/gr_0050,64,49,201604
gr_0060,2016年,04月,1,2016/04/14,/gr_0060,62,47,201604
gr_0070,2016年,04月,1,2016/04/14,/gr_0070,39,34,201604
gr_0080,2016年,04月,1,2016/04/14,/gr_0080,51,36,201604
gr_9900,2016年,04月,1,2016/04/14,/gr_9900,1,1,201604
groups,2016年,04月,1,2016/04/14,/groups/,10,8,201604
iryo,2016年,04月,1,2016/04/14,/iryo/,2,1,201604
jigyosha,2016年,04月,1,2016/04/14,/jigyosha/,2,2,201604
kanko,2016年,04月,1,2016/04/14,/kanko/,3,3,201604
kosodate,2016年,04月,1,2016/04/14,/kosodate/,1,1,201604
kotsu,2016年,04月,1,2016/04/14,/kotsu/,3,2,201604
kurashi,2016年,04月,1,2016/04/14,/kurashi/,1,1,201604
org_0040,2016年,04月,1,2016/04/14,/org_0040,2,2,201604
org_0050,2016年,04月,1,2016/04/14,/org_0050,1,1,201604
org_0060,2016年,04月,1,2016/04/14,/org_0060,1,1,201604
org_0070,2016年,04月,1,2016/04/14,/org_0070,1,1,201604
org_0080,2016年,04月,1,2016/04/14,/org_0080,2,1,201604
org_0100,2016年,04月,1,2016/04/14,/org_0100,1,1,201604
org_0110,2016年,04月,1,2016/04/14,/org_0110,2,2,201604
org_0120,2016年,04月,1,2016/04/14,/org_0120,2,2,201604
org_0140,2016年,04月,1,2016/04/14,/org_0140,1,1,201604
org_0160,2016年,04月,1,2016/04/14,/org_0160,1,1,201604
org_0170,2016年,04月,1,2016/04/14,/org_0170,1,1,201604
org_0240,2016年,04月,1,2016/04/14,/org_0240,1,1,201604
shisei,2016年,04月,1,2016/04/14,/shisei/,4,3,201604
sonota,2016年,04月,1,2016/04/14,/sonota/,1,1,201604
2101c5ea-0a32-4d20-974d-923e0c9e9fe9?organization=org_0160,2016年,04月,1,2016/04/15,/2101c5ea-0a32-4d20-974d-923e0c9e9fe9?organization=org_0160,2,1,201604
?sort=released,2016年,04月,1,2016/04/15,/?sort=released,2,1,201604
about,2016年,04月,1,2016/04/15,/about/,1,1,201604
activity,2016年,04月,1,2016/04/15,/activity/,4,2,201604
b18a8508-9e22-4355-9d36-d8c4d94b7df9?organization=org_0040,2016年,04月,1,2016/04/15,/b18a8508-9e22-4355-9d36-d8c4d94b7df9?organization=org_0040,6,1,201604
b18a8508-9e22-4355-9d36-d8c4d94b7df9?organization=org_0040&tags=統計,2016年,04月,1,2016/04/15,/b18a8508-9e22-4355-9d36-d8c4d94b7df9?organization=org_0040&tags=統計,2,1,201604
b18a8508-9e22-4355-9d36-d8c4d94b7df9?organization=org_0060,2016年,04月,1,2016/04/15,/b18a8508-9e22-4355-9d36-d8c4d94b7df9?organization=org_0060,1,1,201604
b18a8508-9e22-4355-9d36-d8c4d94b7df9?tags=統計,2016年,04月,1,2016/04/15,/b18a8508-9e22-4355-9d36-d8c4d94b7df9?tags=統計,1,1,201604
b18a8508-9e22-4355-9d36-d8c4d94b7df9?tags=統計&organization=org_0060,2016年,04月,1,2016/04/15,/b18a8508-9e22-4355-9d36-d8c4d94b7df9?tags=統計&organization=org_0060,1,1,201604
c2ed703e-ebd0-447e-9b14-cd6aac1ecf8b?organization=org_0120,2016年,04月,1,2016/04/15,/c2ed703e-ebd0-447e-9b14-cd6aac1ecf8b?organization=org_0120,2,1,201604
dataset-00000001,2016年,04月,1,2016/04/15,/dataset-00000001,2,1,201604
dataset-00000001,2016年,04月,1,2016/04/15,/dataset-00000001/,1,1,201604
dataset-00000002,2016年,04月,1,2016/04/15,/dataset-00000002,1,1,201604
dataset-00000002,2016年,04月,1,2016/04/15,/dataset-00000002/,2,2,201604
dataset-00000004,2016年,04月,1,2016/04/15,/dataset-00000004,2,1,201604
dataset-00000004,2016年,04月,1,2016/04/15,/dataset-00000004/,2,2,201604
dataset-00000005,2016年,04月,1,2016/04/15,/dataset-00000005,2,2,201604
dataset-00000005,2016年,04月,1,2016/04/15,/dataset-00000005/,2,2,201604
dataset-00000006,2016年,04月,1,2016/04/15,/dataset-00000006,2,1,201604
dataset-00000006,2016年,04月,1,2016/04/15,/dataset-00000006/,2,2,201604
dataset-00000007,2016年,04月,1,2016/04/15,/dataset-00000007,10,7,201604
dataset-00000007,2016年,04月,1,2016/04/15,/dataset-00000007/,10,8,201604
dataset-00000008,2016年,04月,1,2016/04/15,/dataset-00000008,2,1,201604
dataset-00000008,2016年,04月,1,2016/04/15,/dataset-00000008/,2,2,201604
dataset-00000009,2016年,04月,1,2016/04/15,/dataset-00000009,9,5,201604
dataset-00000009,2016年,04月,1,2016/04/15,/dataset-00000009/,4,4,201604
dataset-00000010,2016年,04月,1,2016/04/15,/dataset-00000010,3,3,201604
dataset-00000010,2016年,04月,1,2016/04/15,/dataset-00000010/,2,2,201604
dataset-00000011,2016年,04月,1,2016/04/15,/dataset-00000011,33,18,201604
dataset-00000011,2016年,04月,1,2016/04/15,/dataset-00000011/,30,30,201604
dataset-00000012,2016年,04月,1,2016/04/15,/dataset-00000012,13,9,201604
dataset-00000012,2016年,04月,1,2016/04/15,/dataset-00000012/,10,10,201604
dataset-00000018,2016年,04月,1,2016/04/15,/dataset-00000018,6,1,201604
dataset-00000018,2016年,04月,1,2016/04/15,/dataset-00000018/,2,2,201604
dataset-00000037,2016年,04月,1,2016/04/15,/dataset-00000037,2,1,201604
dataset-00000037,2016年,04月,1,2016/04/15,/dataset-00000037/,2,1,201604
dataset-00000045,2016年,04月,1,2016/04/15,/dataset-00000045,2,2,201604
dataset-00000045,2016年,04月,1,2016/04/15,/dataset-00000045/,2,2,201604
dataset-00000046,2016年,04月,1,2016/04/15,/dataset-00000046,1,1,201604
dataset-00000047,2016年,04月,1,2016/04/15,/dataset-00000047,1,1,201604
dataset-00000047,2016年,04月,1,2016/04/15,/dataset-00000047/,1,1,201604
dataset-00000048,2016年,04月,1,2016/04/15,/dataset-00000048,1,1,201604
dataset-00000048,2016年,04月,1,2016/04/15,/dataset-00000048/,1,1,201604
dataset-00000050,2016年,04月,1,2016/04/15,/dataset-00000050,4,4,201604
dataset-00000051,2016年,04月,1,2016/04/15,/dataset-00000051,5,4,201604
dataset-00000051,2016年,04月,1,2016/04/15,/dataset-00000051/,2,1,201604
dataset-00000052,2016年,04月,1,2016/04/15,/dataset-00000052,2,2,201604
dataset-00000053,2016年,04月,1,2016/04/15,/dataset-00000053,8,4,201604
dataset-00000053,2016年,04月,1,2016/04/15,/dataset-00000053/,9,9,201604
dataset-00000054,2016年,04月,1,2016/04/15,/dataset-00000054,18,13,201604
dataset-00000054,2016年,04月,1,2016/04/15,/dataset-00000054/,16,16,201604
ea98c354-262b-4cff-a061-477b74f43bcc?organization=org_0040,2016年,04月,1,2016/04/15,/ea98c354-262b-4cff-a061-477b74f43bcc?organization=org_0040,1,1,201604
ea98c354-262b-4cff-a061-477b74f43bcc?organization=org_0040&license_id=CC-BY,2016年,04月,1,2016/04/15,/ea98c354-262b-4cff-a061-477b74f43bcc?organization=org_0040&license_id=CC-BY,1,1,201604
gr_0010,2016年,04月,1,2016/04/15,/gr_0010,50,34,201604
gr_0020,2016年,04月,1,2016/04/15,/gr_0020,29,26,201604
gr_0020?page=1,2016年,04月,1,2016/04/15,/gr_0020?page=1,1,1,201604
gr_0020?page=2,2016年,04月,1,2016/04/15,/gr_0020?page=2,2,2,201604
gr_0030,2016年,04月,1,2016/04/15,/gr_0030,12,11,201604
gr_0040,2016年,04月,1,2016/04/15,/gr_0040,12,11,201604
gr_0050,2016年,04月,1,2016/04/15,/gr_0050,19,16,201604
gr_0060,2016年,04月,1,2016/04/15,/gr_0060,14,12,201604
gr_0070,2016年,04月,1,2016/04/15,/gr_0070,11,9,201604
gr_0080,2016年,04月,1,2016/04/15,/gr_0080,16,13,201604
groups,2016年,04月,1,2016/04/15,/groups/,2,1,201604
jigyosha,2016年,04月,1,2016/04/15,/jigyosha/,2,1,201604
kanko,2016年,04月,1,2016/04/15,/kanko/,2,2,201604
kurashi,2016年,04月,1,2016/04/15,/kurashi/,1,1,201604
org_0050,2016年,04月,1,2016/04/15,/org_0050,1,1,201604
org_0170,2016年,04月,1,2016/04/15,/org_0170,1,1,201604
shisei,2016年,04月,1,2016/04/15,/shisei/,1,1,201604
0f6fa0bc-0b25-4796-8197-8f0735f1cd14?tags=情報啓発,2016年,04月,1,2016/04/16,/0f6fa0bc-0b25-4796-8197-8f0735f1cd14?tags=情報啓発,1,1,201604
about,2016年,04月,1,2016/04/16,/about/,1,1,201604
activity,2016年,04月,1,2016/04/16,/activity/,1,1,201604
c2ed703e-ebd0-447e-9b14-cd6aac1ecf8b?organization=org_0120,2016年,04月,1,2016/04/16,/c2ed703e-ebd0-447e-9b14-cd6aac1ecf8b?organization=org_0120,2,1,201604
dataset-00000005,2016年,04月,1,2016/04/16,/dataset-00000005,2,1,201604
dataset-00000005,2016年,04月,1,2016/04/16,/dataset-00000005/,2,2,201604
dataset-00000006,2016年,04月,1,2016/04/16,/dataset-00000006,5,2,201604
dataset-00000006,2016年,04月,1,2016/04/16,/dataset-00000006/,4,4,201604
dataset-00000007,2016年,04月,1,2016/04/16,/dataset-00000007,1,1,201604
dataset-00000007,2016年,04月,1,2016/04/16,/dataset-00000007/,2,2,201604
dataset-00000010,2016年,04月,1,2016/04/16,/dataset-00000010,4,3,201604
dataset-00000010,2016年,04月,1,2016/04/16,/dataset-00000010/,2,2,201604
dataset-00000011,2016年,04月,1,2016/04/16,/dataset-00000011,2,1,201604
